peak_name	250715_EYO_FastPrep_MeOH_Blank_11.mzML
Acetic_acid_FT	4069113.2982267314
Acetic_acid_IT100	0.0
Acetic_acid_IT115	0.0
Acetic_acid_D3_FT	4811836.24799785
Acetic_acid_D3_IT100	0.0
Acetic_acid_D3_IT118	0.0
Propanoic_acid_FT	21197.78398224104
Propanoic_acid_IT100	0.0
Propanoic_acid_IT129	0.0
Propanoic_acid_D3_FT	234533.79832749718
Propanoic_acid_D3_IT100	0.0
Propanoic_acid_D3_IT132	0.0
Butyric_acid_FT	19226.832939628304
Butyric_acid_IT100	633.8663816709342
Butyric_acid_IT143	1218.559358869612
Butyric_acid_D3_FT	3451539.9137877366
Butyric_acid_D3_IT100	220432.46649256747
Butyric_acid_D3_IT146	75613.57323692097
n-Valeric_acid_FT	3195.1869109656373
n-Valeric_acid_IT100	0.0
n-Valeric_acid_IT157	0.0
n-Valeric_acid_D9_FT	4895212.694984031
n-Valeric_acid_D9_IT100	0.0
n-Valeric_acid_D9_IT165	0.0
Valeric_acid_iso1_FT	0.0
Valeric_acid_iso1_IT100	0.0
Valeric_acid_iso1_IT157	0.0
Valeric_acid_iso2_FT	610.1692601006597
Valeric_acid_iso2_IT100	0.0
Valeric_acid_iso2_IT157	0.0
Hexanoic_acid_FT	4577.935998010241
Hexanoic_acid_IT100	0.0
Hexanoic_acid_IT171	0.0
Hexanoic_acid_D3_FT	11756623.061021226
Hexanoic_acid_D3_IT100	0.0
Hexanoic_acid_D3_IT174	0.0